,Id,Model_Name,Model_Year,Brand_Name,Delaer_Name,Certified,Certified_Group,Deal,Mileage,Rating,Rating_Group,Review,Price,Price_Group
1821,1821,2023 BMW X7 xDrive40i,2023,BMW,Anchor Auto Outlet,Used,Used,Good Deal,7581,4.0,Four Star,120.0,81995,Medium Price
1822,1822,2016 Mazda CX-5 Grand Touring,2016,Mazda,AutoLenders Exton,Used,Used,Good Deal,93284,3.8,Three Star,19.0,17649,Low Price
1823,1823,2019 Lexus GS 350 ,2019,Lexus,AutoLenders Exton,Used,Used,Good Deal,60310,3.8,Three Star,19.0,30849,Low Price
1824,1824,2017 Honda Accord EX-L,2017,Honda,AutoLenders Exton,Used,Used,Fair Deal,92815,3.8,Three Star,19.0,18495,Low Price
1825,1825,2020 Nissan 370Z Sport Touring,2020,Nissan,Classic Nissan Sanford,Used,Used,Good Deal,24974,4.5,Four Star,462.0,36997,Low Price
1827,1827,2020 BMW M340 i xDrive,2020,BMW,Nimey's New Generation Cars,Used,Used,Good Deal,19925,0.0,Bad,38.0,49990,Low Price
1828,1828,2020 Acura MDX ,2020,Acura,Johnson Lexus of Raleigh,Used,Used,Great Deal,89910,4.9,Four Star,2564.0,29946,Low Price
1829,1829,2017 Jeep Wrangler Unlimited Sport,2017,Jeep,Patriot Chevrolet Limerick,Used,Used,Good Deal,72037,4.0,Four Star,220.0,25329,Low Price
1830,1830,2015 Lexus RX 350 Base,2015,Lexus,Alfa Romeo & Maserati of Raleigh,Used,Used,Good Deal,113020,5.0,Five Star,395.0,18301,Low Price
1831,1831,2021 Honda Civic Type R Touring,2021,Honda,Piazza Honda of Pottstown,Honda Certified,Brand_New,Good Deal,13074,4.8,Four Star,324.0,44888,Low Price
1832,1832,2016 Toyota Highlander LE,2016,Toyota,Bethlehem Ford,Used,Used,Fair Deal,93302,4.7,Four Star,433.0,23400,Low Price
1833,1833,2013 Toyota Avalon XLE,2013,Toyota,Bethlehem Ford,Used,Used,Great Deal,99015,4.7,Four Star,433.0,14200,Low Price
1834,1834,2017 Chevrolet Cruze LT,2017,Chevrolet,Bethlehem Ford,Used,Used,Good Deal,120040,4.7,Four Star,433.0,10000,Low Price
1835,1835,2016 Chevrolet Colorado WT,2016,Chevrolet,Bethlehem Ford,Used,Used,Great Deal,45118,4.7,Four Star,433.0,19674,Low Price
1836,1836,2015 Jeep Renegade Sport,2015,Jeep,Raleigh Pre-Owned,Used,Used,Great Deal,88295,2.8,Two Star,43.0,11500,Low Price
1837,1837,2016 Ford Edge SEL,2016,Ford,Raleigh Pre-Owned,Used,Used,Great Deal,35313,2.8,Two Star,43.0,18500,Low Price
1838,1838,2015 Audi A3 2.0T Premium Plus,2015,Audi,Raleigh Pre-Owned,Used,Used,Great Deal,96318,2.8,Two Star,43.0,13998,Low Price
1839,1839,2009 Toyota Venza Base,2009,Toyota,Raleigh Pre-Owned,Used,Used,Good Deal,153356,2.8,Two Star,43.0,8998,Low Price
1840,1840,1998 BMW Z3 1.9 Roadster,1998,BMW,Raleigh Pre-Owned,Used,Used,Good Deal,110166,2.8,Two Star,43.0,6998,Low Price
1841,1841,2020 INFINITI Q50 3.0t LUXE,2020,INFINITI,Hanna Imports,Used,Used,Great Deal,24050,3.4,Three Star,2288.0,26500,Low Price
1842,1842,2015 Mercedes-Benz S-Class 4dr Sdn S 550 RWD,2015,Mercedes-Benz,Fitzgerald Chrysler Jeep Dodge RAM Lexington Park,Used,Used,Great Deal,142229,4.6,Four Star,486.0,22000,Low Price
1843,1843,2022 RAM 1500 Rebel,2022,RAM,Fitzgerald Chrysler Jeep Dodge RAM Lexington Park,RAM Certified,Brand_New,Good Deal,35370,4.6,Four Star,486.0,51995,Medium Price
1844,1844,2022 Buick Encore Preferred,2022,Buick,Thompson Buick Cadillac GMC,Buick Certified,Brand_New,Great Deal,19601,4.4,Four Star,112.0,23131,Low Price
1845,1845,2023 Ford F-150 Tremor,2023,Ford,Capital Ford,Used,Used,Good Deal,2833,4.6,Four Star,2174.0,62790,Medium Price
1846,1846,2016 Chevrolet Colorado LT,2016,Chevrolet,Capital Ford,Used,Used,Great Deal,103487,4.6,Four Star,2174.0,19185,Low Price
1847,1847,2024 Mazda CX-90 Premium,2024,Mazda,Passport Mazda,New,New,Other Deal,0,0.0,Bad,390.0,50870,Medium Price
1848,1848,2017 Chevrolet Suburban LT,2017,Chevrolet,Gateway Auto Inc.,Used,Used,Great Deal,73864,0.0,Bad,1.0,30499,Low Price
1849,1849,2014 INFINITI Q60 Base,2014,INFINITI,Gateway Auto Inc.,Used,Used,Good Deal,134435,0.0,Bad,1.0,15999,Low Price
1850,1850,2013 Nissan Altima 3.5 SV,2013,Nissan,"John L. Smith, Inc.",Used,Used,Fair Deal,61636,5.0,Five Star,647.0,14995,Low Price
1851,1851,2020 Porsche Cayenne Base,2020,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,17018,4.5,Four Star,232.0,62575,Medium Price
1852,1852,2019 Porsche 718 Cayman Base,2019,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,25644,4.5,Four Star,232.0,54975,Medium Price
1853,1853,2022 Porsche 718 Boxster T,2022,Porsche,Porsche Delaware,Used,Used,Fair Deal,13650,4.5,Four Star,232.0,76975,Medium Price
1854,1854,2020 Porsche Panamera GTS,2020,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Great Deal,27260,4.5,Four Star,232.0,96975,Medium Price
1855,1855,2023 Porsche Cayenne ,2023,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Great Deal,2475,4.5,Four Star,232.0,76975,Medium Price
1856,1856,2020 Porsche Cayenne S Coupe AWD,2020,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,64888,4.5,Four Star,232.0,73395,Medium Price
1857,1857,2021 Porsche 911 Turbo S,2021,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Great Deal,8015,4.5,Four Star,232.0,234775,High Price
1858,1858,2018 Porsche 718 Cayman Base,2018,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,48665,4.5,Four Star,232.0,55975,Medium Price
1859,1859,2018 Porsche 718 Cayman S,2018,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,30945,4.5,Four Star,232.0,84775,Medium Price
1860,1860,2019 Porsche 911 Carrera GTS,2019,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,23386,4.5,Four Star,232.0,123395,High Price
1861,1861,2016 Porsche Panamera GTS,2016,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,77251,4.5,Four Star,232.0,53575,Medium Price
1862,1862,2023 Porsche Cayenne Base (Tiptronic),2023,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Great Deal,7598,4.5,Four Star,232.0,74975,Medium Price
1863,1863,2018 Porsche 718 Cayman Base,2018,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Fair Deal,26966,4.5,Four Star,232.0,61775,Medium Price
1864,1864,2023 Porsche Panamera Platinum Edition,2023,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Great Deal,9135,4.5,Four Star,232.0,98575,Medium Price
1865,1865,2019 Porsche Cayenne Base,2019,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,52223,4.5,Four Star,232.0,50775,Medium Price
1866,1866,2023 Porsche Cayenne ,2023,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,4140,4.5,Four Star,232.0,79975,Medium Price
1867,1867,2018 Porsche Panamera Turbo,2018,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,47214,4.5,Four Star,232.0,85975,Medium Price
1868,1868,2023 Jeep Wrangler 4xe Sahara,2023,Jeep,Auburn Chrysler Dodge Jeep Ram,New,New,Other Deal,0,0.0,Bad,390.0,59410,Medium Price
1869,1869,2023 Porsche Cayenne GTS,2023,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,9107,4.5,Four Star,232.0,117975,High Price
1870,1870,2016 Porsche Cayenne E-Hybrid S,2016,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,86916,4.5,Four Star,232.0,29395,Low Price
1871,1871,2007 Porsche 911 Carrera 4S Cabriolet,2007,Porsche,Porsche Delaware,Used,Used,Fair Deal,72840,4.5,Four Star,232.0,49395,Low Price
1872,1872,2021 Porsche Taycan 4S,2021,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,2410,4.5,Four Star,232.0,95975,Medium Price
1873,1873,2020 Porsche Panamera 4,2020,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,46161,4.5,Four Star,232.0,65975,Medium Price
1874,1874,2021 Porsche Cayenne E-Hybrid AWD,2021,Porsche,Porsche Delaware,Porsche Certified,Brand_New,Good Deal,6191,4.5,Four Star,232.0,86575,Medium Price
1875,1875,2018 Cadillac Escalade Platinum,2018,Cadillac,Herlong Ford,Used,Used,Great Deal,34385,4.5,Four Star,1059.0,55880,Medium Price
1876,1876,2022 Ford F-150 Lightning LARIAT,2022,Ford,Herlong Ford,Used,Used,Good Deal,1371,4.5,Four Star,1059.0,77880,Medium Price
1877,1877,2018 Ford Fusion S,2018,Ford,Herlong Ford,Used,Used,Good Deal,73466,4.5,Four Star,1059.0,17580,Low Price
1878,1878,2018 Honda Civic EX-T,2018,Honda,Complete Auto Center Inc,Used,Used,Great Deal,73599,0.0,Bad,0.0,18449,Low Price
1879,1879,2015 Lexus RX 350 F Sport,2015,Lexus,Complete Auto Center Inc,Used,Used,Great Deal,142879,0.0,Bad,0.0,17849,Low Price
1880,1880,2009 Saturn Sky ,2009,Saturn,Complete Auto Center Inc,Used,Used,Good Deal,75394,0.0,Bad,0.0,11699,Low Price
1881,1881,2022 MINI SE Hardtop Cooper,2022,MINI,Abeloff Nissan,Used,Used,Great Deal,4289,1.6,One Star,84.0,24783,Low Price
1882,1882,2023 GMC Yukon XL Denali Ultimate,2023,GMC,Videon Chevrolet of Phoenixville,GMC Certified,Brand_New,Good Deal,10895,4.7,Four Star,563.0,101995,High Price
1883,1883,2016 Chevrolet Corvette Stingray,2016,Chevrolet,Golden Motors,Used,Used,Great Deal,27464,0.0,Bad,4.0,45925,Low Price
1884,1884,2016 Audi Q3 2.0T Premium Plus,2016,Audi,Ciocca Chevrolet of West Chester,Used,Used,Good Deal,90246,4.6,Four Star,159.0,16990,Low Price
1885,1885,2021 Mercedes-Benz S-Class S 580 4MATIC,2021,Mercedes-Benz,Mercedes-Benz of West Chester,Mercedes-Benz Certified,Brand_New,Good Deal,16188,4.5,Four Star,1816.0,91381,Medium Price
1886,1886,2019 Toyota Highlander XLE,2019,Toyota,Love Buick GMC,Used,Used,Great Deal,132461,4.2,Four Star,25.0,21985,Low Price
1887,1887,2019 Toyota Highlander XLE,2019,Toyota,Love Buick GMC,Used,Used,Good Deal,154409,4.2,Four Star,25.0,21985,Low Price
1888,1888,2023 Chevrolet Suburban Premier,2023,Chevrolet,Raceway Chevrolet of Bethlehem,Chevrolet Certified,Brand_New,Great Deal,10125,4.8,Four Star,437.0,77900,Medium Price
1889,1889,2023 Ford Expedition XLT,2023,Ford,Spitzer Ford Cuyahoga Falls,New,New,Other Deal,0,0.0,Bad,390.0,69250,Medium Price
1890,1890,2020 Acura MDX 3.5L w/Advance Package,2020,Acura,Piazza Acura of West Chester,Acura Certified,Brand_New,Good Deal,24855,4.7,Four Star,1565.0,40585,Low Price
1891,1891,2020 Lincoln Aviator Black Label Grand Touring,2020,Lincoln,Seth Wadley Ford of Perry,Used,Used,Good Deal,16072,4.8,Four Star,92.0,58891,Medium Price
1892,1892,2019 GMC Yukon Denali,2019,GMC,CarShop Glen Mills,Used,Used,Great Deal,103103,4.7,Four Star,129.0,32446,Low Price
1893,1893,2022 MINI SE Hardtop Cooper,2022,MINI,CarShop Glen Mills,Used,Used,Great Deal,10636,4.7,Four Star,129.0,25997,Low Price
1894,1894,2020 Lexus LX 570 Three-Row,2020,Lexus,CarShop Glen Mills,Used,Used,Good Deal,27137,4.7,Four Star,129.0,73297,Medium Price
1895,1895,2021 Lexus LC 500 Base,2021,Lexus,Jim Hudson Lexus Columbia,Used,Used,Great Deal,740,4.9,Four Star,3262.0,100562,High Price
1896,1896,2020 Toyota Tundra SR5,2020,Toyota,Koons Easton Toyota,Toyota Certified,Brand_New,Great Deal,70980,4.6,Four Star,432.0,35000,Low Price
1897,1897,2022 Honda CR-V EX-L,2022,Honda,Midlands Honda,Used,Used,Good Deal,26599,4.1,Four Star,936.0,30671,Low Price
1898,1898,2020 Ford Explorer Limited,2020,Ford,Jim Hudson Ford,Ford Certified,Brand_New,Good Deal,27916,4.7,Four Star,1479.0,37999,Low Price
1899,1899,2019 Mercedes-Benz AMG C 43 Base 4MATIC,2019,Mercedes-Benz,Quakertown Mitsubishi,Used,Used,Fair Deal,60597,3.7,Three Star,194.0,35990,Low Price
1900,1900,2022 Audi S3 2.0T quattro Premium,2022,Audi,Quakertown Mitsubishi,Used,Used,Fair Deal,9130,3.7,Three Star,194.0,42490,Low Price
1901,1901,2019 Toyota Highlander Hybrid XLE,2019,Toyota,Quakertown Mitsubishi,Used,Used,Good Deal,69296,3.7,Three Star,194.0,28990,Low Price
1902,1902,2016 Audi S7 4.0T quattro,2016,Audi,Quakertown Mitsubishi,Used,Used,Fair Deal,63554,3.7,Three Star,194.0,34490,Low Price
1903,1903,2022 Ford Expedition Max XLT,2022,Ford,BMW of Columbia,Used,Used,Good Deal,14128,4.7,Four Star,1328.0,56555,Medium Price
1904,1904,2022 Toyota Highlander Hybrid Bronze Edition,2022,Toyota,Koons Lexus of Wilmington,Used,Used,Great Deal,76891,4.7,Four Star,830.0,36695,Low Price
1905,1905,2022 Lexus RX 350 Base,2022,Lexus,Koons Lexus of Wilmington,Used,Used,Good Deal,27498,4.7,Four Star,830.0,44597,Low Price
1906,1906,2022 Lexus GX 460 Base,2022,Lexus,Koons Lexus of Wilmington,Used,Used,Good Deal,15330,4.7,Four Star,830.0,52996,Medium Price
1907,1907,2020 BMW X7 xDrive40i,2020,BMW,Koons Lexus of Wilmington,Used,Used,Great Deal,31756,4.7,Four Star,830.0,53396,Medium Price
1908,1908,2021 GMC Canyon Elevation,2021,GMC,Diver Chevrolet,GMC Certified,Brand_New,Great Deal,19365,4.1,Four Star,466.0,34795,Low Price
1909,1909,2020 Chevrolet Bolt EV Premier,2020,Chevrolet,Diver Chevrolet,Chevrolet Certified,Brand_New,Good Deal,21672,4.1,Four Star,466.0,22400,Low Price
1910,1910,2023 BMW XM Base,2023,BMW,Pacific BMW,New,New,Other Deal,0,0.0,Bad,390.0,163395,High Price
1911,1911,2023 Jeep Grand Cherokee Limited,2023,Jeep,Videon Chrysler Dodge Jeep RAM,Used,Used,Good Deal,5649,4.9,Four Star,890.0,45917,Low Price
1912,1912,2020 Lexus GX 460 Luxury,2020,Lexus,Videon Chrysler Dodge Jeep RAM,Used,Used,Good Deal,24510,4.9,Four Star,890.0,49447,Low Price
